,MidYear,Jackknife,Winter,Summer,Matches,Abundance,SPLASHabund,BiasFactor,BiasCorrAbund
359,2020,17,4800,2216,453,23445.53084,17623.21358,1.195184971,28021.74608
360,2021,17,4591,2512,515,22364.75194,17565.22527,1.199130651,26818.25954
361,2002,18,1842,1202,150,14683.97351,18324.38017,1.149452249,16878.52638
362,2003,18,2932,2968,475,18295.27941,19702.53167,1.069050432,19558.57636
363,2004,18,4092,3100,657,19290.35106,19926.26374,1.057047135,20390.81033
364,2005,18,5446,3100,846,19943.32231,19943.32231,1.056142987,21063
365,2006,18,5176,2367,618,19805.74313,19155.9,1.099556795,21777.53943
366,2007,18,4834,2606,539,23343.30556,19070.35703,1.104489022,25782.42473
367,2008,18,3588,2421,377,22997.18519,18535.23881,1.136375971,26133.44865
368,2009,18,3103,2585,338,23679.30088,18079.7027,1.165008095,27586.57721
369,2010,18,2771,2650,297,24660.63758,21363.12791,0.985951125,24314.18338
370,2011,18,2883,2497,270,26584.88192,20467.56818,1.029091478,27358.27544
371,2012,18,3180,2436,275,28088.30797,19929.26992,1.056887687,29686.18685
372,2013,18,3347,2368,259,30506.43077,18575.73536,1.133898583,34591.19861
373,2014,18,3893,2391,332,27972.31532,18555.67729,1.135124289,31752.05455
374,2015,18,3724,2424,319,28229.51563,18249.73737,1.154153595,32581.19695
375,2016,18,3938,2506,368,26762.71545,18424.64366,1.143197144,30595.05985
376,2017,18,3954,2281,348,25861.48711,18803.72917,1.120150148,28968.7486
377,2018,18,4851,2422,513,22873.36576,18227.97054,1.155531821,26430.90199
378,2019,18,4878,2310,493,22825.6336,18012.77157,1.169336985,26690.85759
379,2020,18,4789,2242,452,23718.37307,17585.23895,1.197765925,28409.05906
380,2021,18,4574,2529,519,22260.13462,17459.1448,1.206416479,26854.99324
381,2002,19,1841,1196,152,14411.94118,16961.56923,1.241807271,17896.85334
382,2003,19,2906,2970,477,18069.40377,20613.642,1.021799059,18463.29976
383,2004,19,4090,3095,655,19308.52439,19915.67925,1.057608919,20420.86761
384,2005,19,5437,3095,837,20091.7494,20091.7494,1.048340768,21063
385,2006,19,5172,2369,607,20165.49013,20001.01631,1.053096486,21236.2068
386,2007,19,4850,2608,547,23096.36314,19807.35211,1.063393021,24560.51137
387,2008,19,3602,2413,380,22829.45669,18506.62128,1.138133195,25982.96248
388,2009,19,3128,2573,324,24782.68,18644.625,1.129708964,27997.21576
389,2010,19,2792,2645,302,24391.35644,21116.08,0.997486276,24330.04329
390,2011,19,2915,2502,274,26541.90182,19412.56383,1.085018969,28798.46696
391,2012,19,3179,2436,282,27384.9576,19326.83541,1.089831809,29844.99788
392,2013,19,3329,2361,252,31089.7747,19566.8209,1.07646511,33467.05773
393,2014,19,3876,2403,328,28330.20365,18063.6124,1.166045835,33034.31596
394,2015,19,3711,2431,310,29028.60129,18730.42739,1.12453387,32643.64535
395,2016,19,3943,2509,363,27197.26374,18965.44444,1.110598808,30205.2487
396,2017,19,3963,2272,356,25239.57703,19009.80169,1.10800735,27965.63687
397,2018,19,4858,2416,522,22456.45507,18180.8808,1.158524729,26016.35851
398,2019,19,4884,2319,488,23177.27812,18076.27911,1.165228744,27006.83067
399,2020,19,4796,2243,481,22333.92116,17705.71711,1.189615754,26568.78446
400,2021,19,4584,2541,555,20963.35612,17822.20795,1.181840098,24775.33486
401,2002,20,1832,1193,153,14212.7013,17099.45313,1.23179378,17507.11706
402,2003,20,2903,2973,480,17956.29314,19900.76037,1.05840177,19004.97244
403,2004,20,4089,3100,654,19364.49618,20005.87382,1.05284079,20387.73147
404,2005,20,5428,3100,840,20019.22711,20019.22711,1.052138521,21063
405,2006,20,5166,2345,604,20037.00331,19872.77377,1.059892305,21237.06562
406,2007,20,4833,2567,546,22695.17185,19187.57187,1.097741817,24913.43917
407,2008,20,3601,2404,369,23414,18238.49474,1.154865043,27040.01011
408,2009,20,3132,2572,332,24208.83483,18791.69697,1.120867372,27134.89308
409,2010,20,2774,2640,298,24511.95318,21182.43064,0.994361807,24373.75005
410,2011,20,2908,2484,277,26004.11151,20596.05698,1.022671476,26593.66311
411,2012,20,3182,2429,261,29522.71756,18866.09756,1.116447105,32960.55254
412,2013,20,3328,2389,261,30368.59542,19406.63415,1.085350496,32960.57011
413,2014,20,3858,2396,321,28727.7795,18801.85976,1.120261521,32182.62595
414,2015,20,3698,2422,339,26361.81471,18751.37029,1.123277908,29611.64408
415,2016,20,3922,2490,369,26412.33243,18793.67885,1.120749172,29601.5997
416,2017,20,3955,2249,348,25505.29799,18939.29787,1.112132041,28365.25912
417,2018,20,4842,2412,533,21885.19288,18091.02941,1.164278689,25480.46367
418,2019,20,4867,2313,487,23084.09836,18228.43042,1.155502669,26673.73726
419,2020,20,4771,2239,451,23649.84956,17582.05263,1.197982991,28332.11751
420,2021,20,4558,2535,508,22715.389,17788.11385,1.184105307,26897.41265
